,book_id,title,author,year,rank,genre,genre_2,genre_3,user_rating,reviews,price
541,159,Wonder,R. J. Palacio,2014,22,Fiction,Children's Books,Growing Up & Facts of Life,4.8,21625,9.0
349,188,The Book with No Pictures,B. J. Novak,2014,23,Fiction,Children's Books,Growing Up & Facts of Life,4.8,8081,8.0
289,189,Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,2014,24,Fiction,Children's Books,Literature & Fiction,4.9,3836,12.0
324,79,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,2014,25,Non Fiction,Self-Help,Relationships,4.7,3477,28.0
205,168,Knock-Knock Jokes for Kids,Rob Elliott,2014,26,Non Fiction,Children's Books,Humor,4.5,3673,4.0
193,190,JOURNEY TO THE ICE P,RH Disney,2014,27,Fiction,Children's Books,Growing Up & Facts of Life,4.6,978,0.0
276,25,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2014,28,Non Fiction,"New, Used & Rental Textbooks",Social Sciences,4.5,8580,46.0
219,191,Little Blue Truck,Alice Schertle,2014,29,Fiction,Children's Books,Animals,4.9,1884,0.0
226,192,Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,2014,30,Non Fiction,"Cookbooks, Food & Wine",Regional & International,4.5,1386,20.0
110,193,First 100 Words,Roger Priddy,2014,31,Non Fiction,Children's Books,Education & Reference,4.7,17323,4.0
180,194,If I Stay,Gayle Forman,2014,32,Fiction,Children's Books,"Arts, Music & Photography",4.3,7153,9.0
6,195,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,2014,33,Fiction,Literature & Fiction,Genre Fiction,4.7,19735,30.0
77,196,Divergent / Insurgent,Veronica Roth,2014,34,Fiction,Teen & Young Adult,Literature & Fiction,4.5,17684,6.0
45,197,Capital in the Twenty First Century,Thomas Piketty,2014,35,Non Fiction,Politics & Social Sciences,Politics & Government,4.5,2884,28.0
259,198,Orphan Train,Christina Baker Kline,2014,36,Fiction,Literature & Fiction,Literary,4.6,21930,11.0
233,199,Mindset: The New Psychology of Success,Carol S. Dweck,2014,37,Non Fiction,"Health, Fitness & Dieting",Psychology & Counseling,4.6,5542,10.0
166,200,How to Win Friends & Influence People,Dale Carnegie,2014,38,Non Fiction,Self-Help,Relationships,4.7,25001,11.0
477,176,The Very Hungry Caterpillar,Eric Carle,2014,39,Fiction,Children's Books,Early Learning,4.9,19546,5.0
20,201,All the Light We Cannot See,Anthony Doerr,2014,40,Fiction,Literature & Fiction,Genre Fiction,4.6,36348,14.0
148,202,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,2014,41,Non Fiction,"Health, Fitness & Dieting",Diets & Weight Loss,4.6,5972,10.0
519,60,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2014,42,Non Fiction,Biographies & Memoirs,Leaders & Notable People,4.8,29673,16.0
500,203,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,2014,43,Non Fiction,"Cookbooks, Food & Wine",Vegetarian & Vegan,4.6,11128,23.0
338,204,The Alchemist,Paulo Coelho,2014,44,Fiction,Literature & Fiction,Genre Fiction,4.7,35799,39.0
221,205,Looking for Alaska,John Green,2014,45,Fiction,Teen & Young Adult,Literature & Fiction,4.5,8491,7.0
396,139,The Great Gatsby,F. Scott Fitzgerald,2014,46,Fiction,Literature & Fiction,Genre Fiction,4.4,11616,7.0
351,206,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,2014,47,Non Fiction,History,Americas,4.8,23358,12.0
223,207,Love You Forever,Robert Munsch,2014,48,Fiction,Children's Books,Classics,4.8,18613,5.0
434,208,The Maze Runner (Book 1),James Dashner,2014,49,Fiction,Teen & Young Adult,Literature & Fiction,4.5,10101,8.0
200,209,Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,2014,50,Non Fiction,Biographies & Memoirs,Leaders & Notable People,4.6,10927,6.0
111,193,First 100 Words,Roger Priddy,2015,1,Non Fiction,Children's Books,Education & Reference,4.7,17323,4.0
423,210,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,2015,2,Non Fiction,"Crafts, Hobbies & Home",Home Improvement & Design,4.5,22641,11.0
210,161,Laugh-Out-Loud Jokes for Kids,Rob Elliott,2015,3,Non Fiction,Children's Books,Humor,4.6,6990,4.0
295,211,"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,2015,4,Non Fiction,Arts & Photography,Graphic Design,4.7,9366,9.0
310,6,StrengthsFinder 2.0,Gallup,2015,5,Non Fiction,Business & Money,Management & Leadership,4.0,5069,17.0
132,212,Go Set a Watchman: A Novel,Harper Lee,2015,6,Fiction,Literature & Fiction,Genre Fiction,3.6,14982,19.0
99,213,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,2015,7,Non Fiction,"Crafts, Hobbies & Home",Crafts & Hobbies,4.7,5413,9.0
21,201,All the Light We Cannot See,Anthony Doerr,2015,8,Fiction,Literature & Fiction,Genre Fiction,4.6,36348,14.0
382,214,The Girl on the Train,Paula Hawkins,2015,9,Fiction,"Mystery, Thriller & Suspense",Thrillers & Suspense,4.1,79446,18.0
17,215,Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,2015,10,Non Fiction,"Crafts, Hobbies & Home",Crafts & Hobbies,4.4,2951,6.0
253,216,Old School (Diary of a Wimpy Kid #10),Jeff Kinney,2015,11,Fiction,Children's Books,Growing Up & Facts of Life,4.8,6169,7.0
507,182,To Kill a Mockingbird,Harper Lee,2015,12,Fiction,Literature & Fiction,Genre Fiction,4.8,26234,0.0
