,book_id,title,author,year,rank,genre,genre_2,genre_3,user_rating,reviews,price
227,274,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,2017,16,Non Fiction,Self-Help,Happiness,4.7,10199,11.0
3,275,1984 (Signet Classics),George Orwell,2017,17,Fiction,Literature & Fiction,Genre Fiction,4.7,21424,6.0
169,200,How to Win Friends & Influence People,Dale Carnegie,2017,18,Non Fiction,Self-Help,Relationships,4.7,25001,11.0
258,276,Origin: A Novel (Robert Langdon),Dan Brown,2017,19,Fiction,Literature & Fiction,Action & Adventure,4.3,18904,13.0
10,243,A Man Called Ove: A Novel,Fredrik Backman,2017,20,Fiction,Literature & Fiction,Genre Fiction,4.6,23848,8.0
467,277,The Sun and Her Flowers,Rupi Kaur,2017,21,Non Fiction,Literature & Fiction,Poetry,4.7,5487,9.0
65,221,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,2017,22,Fiction,Children's Books,Animals,4.8,10922,5.0
378,170,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,2017,23,Non Fiction,Self-Help,Personal Transformation,4.7,23308,6.0
391,252,The Going-To-Bed Book,Sandra Boynton,2017,24,Fiction,Children's Books,Humor,4.8,5249,5.0
312,6,StrengthsFinder 2.0,Gallup,2017,25,Non Fiction,Business & Money,Management & Leadership,4.0,5069,17.0
487,256,The Wonderful Things You Will Be,Emily Winfield Martin,2017,26,Fiction,Children's Books,Growing Up & Facts of Life,4.9,8842,10.0
460,2,The Shack: Where Tragedy Confronts Eternity,William P. Young,2017,27,Fiction,Children's Books,Literature & Fiction,4.6,19720,8.0
425,210,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,2017,28,Non Fiction,"Crafts, Hobbies & Home",Home Improvement & Design,4.5,22641,11.0
257,278,"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,2017,29,Non Fiction,Self-Help,Death & Grief,4.5,1831,9.0
503,203,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,2017,30,Non Fiction,"Cookbooks, Food & Wine",Vegetarian & Vegan,4.6,11128,23.0
7,279,A Gentleman in Moscow: A Novel,Amor Towles,2017,31,Fiction,Literature & Fiction,Genre Fiction,4.7,19699,15.0
279,25,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2017,32,Non Fiction,"New, Used & Rental Textbooks",Social Sciences,4.5,8580,46.0
143,280,Goodnight Moon,Margaret Wise Brown,2017,33,Fiction,Children's Books,Animals,4.8,8837,5.0
496,281,Thirteen Reasons Why,Jay Asher,2017,34,Fiction,Teen & Young Adult,Literature & Fiction,4.5,7932,9.0
214,282,Leonardo da Vinci,Walter Isaacson,2017,35,Non Fiction,Biographies & Memoirs,Historical,4.5,3014,21.0
451,283,The Pout-Pout Fish,Deborah Diesen,2017,36,Fiction,Children's Books,Growing Up & Facts of Life,4.8,9784,5.0
156,284,"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,2017,37,Fiction,Children's Books,Growing Up & Facts of Life,4.9,3146,30.0
178,285,If Animals Kissed Good Night,Ann Whitford Paul,2017,38,Fiction,Children's Books,Growing Up & Facts of Life,4.8,16643,4.0
40,286,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,2017,39,Fiction,Children's Books,Early Learning,4.9,14344,5.0
265,287,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,2017,40,Fiction,Humor & Entertainment,Puzzles &  Games,4.8,16990,27.0
480,176,The Very Hungry Caterpillar,Eric Carle,2017,41,Fiction,Children's Books,Early Learning,4.9,19546,5.0
281,288,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,2017,42,Fiction,Children's Books,Animals,4.8,4757,4.0
212,161,Laugh-Out-Loud Jokes for Kids,Rob Elliott,2017,43,Non Fiction,Children's Books,Humor,4.6,6990,4.0
510,289,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,2017,44,Non Fiction,Business & Money,Management & Leadership,4.6,4360,21.0
232,290,Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,2017,45,Non Fiction,Literature & Fiction,Poetry,4.4,3113,6.0
286,291,Ready Player One: A Novel,Ernest Cline,2017,46,Fiction,Humor & Entertainment,Humor,4.6,22536,12.0
82,292,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey,2017,47,Fiction,Children's Books,Animals,4.9,4786,8.0
244,293,Obama: An Intimate Portrait,Pete Souza,2017,48,Non Fiction,Arts & Photography,Photography & Video,4.9,3192,22.0
337,46,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2017,49,Non Fiction,Self-Help,Motivational,4.7,4725,16.0
195,294,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,2017,50,Non Fiction,History,Americas,4.6,8393,17.0
32,295,Becoming,Michelle Obama,2018,1,Non Fiction,History,Americas,4.8,61133,11.0
129,296,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,2018,2,Non Fiction,Christian Books & Bibles,Christian Living,4.6,22288,12.0
490,297,The Wonky Donkey,Craig Smith,2018,3,Fiction,Children's Books,Animals,4.8,30183,4.0
109,298,Fire and Fury: Inside the Trump White House,Michael Wolff,2018,4,Non Fiction,Biographies & Memoirs,Leaders & Notable People,4.2,13677,6.0
103,299,Fear: Trump in the White House,Bob Woodward,2018,5,Non Fiction,Biographies & Memoirs,Leaders & Notable People,4.4,6042,2.0
207,300,"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,2018,6,Fiction,Children's Books,Growing Up & Facts of Life,4.9,11881,13.0
2,301,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,2018,7,Non Fiction,"Health, Fitness & Dieting",Psychology & Counseling,4.7,18979,15.0
225,302,Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,2018,8,Non Fiction,"Cookbooks, Food & Wine",Regional & International,4.8,9867,16.0
536,303,Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with,2018,9,Non Fiction,Humor & Entertainment,Humor,4.6,6669,12.0
465,268,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,2018,10,Non Fiction,Humor & Entertainment,Humor,4.6,26490,15.0
8,304,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,2018,11,Non Fiction,History,Americas,4.7,5983,3.0
355,305,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,2018,12,Non Fiction,"Cookbooks, Food & Wine",Special Diet,4.3,13061,6.0
435,306,The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,2018,13,Fiction,Children's Books,"Science, Nature & How It Works",4.8,5898,8.0
328,224,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,2018,14,Non Fiction,Self-Help,Relationships,4.8,25554,8.0
114,193,First 100 Words,Roger Priddy,2018,15,Non Fiction,Children's Books,Education & Reference,4.7,17323,4.0
87,307,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,2018,16,Fiction,Children's Books,Animals,4.9,5470,6.0
97,308,Educated: A Memoir,Tara Westover,2018,17,Non Fiction,Biographies & Memoirs,Leaders & Notable People,4.7,28729,15.0
548,257,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,2018,18,Non Fiction,Self-Help,Happiness,4.7,14331,8.0
450,309,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,2018,19,Non Fiction,"Cookbooks, Food & Wine",Cooking by Ingredient,4.4,7058,17.0
126,227,Giraffes Can't Dance,Giles Andreae,2018,20,Fiction,Children's Books,"Arts, Music & Photography",4.8,14038,4.0
266,287,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,2018,21,Fiction,Humor & Entertainment,Puzzles &  Games,4.8,16990,27.0
165,310,Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,2018,22,Non Fiction,"Crafts, Hobbies & Home",Home Improvement & Design,4.8,3776,22.0
481,176,The Very Hungry Caterpillar,Eric Carle,2018,23,Fiction,Children's Books,Early Learning,4.9,19546,5.0
53,311,Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,2018,24,Fiction,Literature & Fiction,Genre Fiction,4.3,6143,8.0
401,312,The Hate U Give,Angie Thomas,2018,25,Fiction,Teen & Young Adult,Literature & Fiction,4.8,9947,11.0
416,270,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,2018,26,Non Fiction,"Cookbooks, Food & Wine",Cooking by Ingredient,4.3,7368,7.0
379,170,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,2018,27,Non Fiction,Self-Help,Personal Transformation,4.7,23308,6.0
488,256,The Wonderful Things You Will Be,Emily Winfield Martin,2018,28,Fiction,Children's Books,Growing Up & Facts of Life,4.9,8842,10.0
262,313,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,2018,29,Non Fiction,Children's Books,Growing Up & Facts of Life,4.7,10820,5.0
452,283,The Pout-Pout Fish,Deborah Diesen,2018,30,Fiction,Children's Books,Growing Up & Facts of Life,4.8,9784,5.0
215,314,Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,2018,31,Non Fiction,Arts & Photography,Graphic Design,4.4,7550,6.0
280,25,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,2018,32,Non Fiction,"New, Used & Rental Textbooks",Social Sciences,4.5,8580,46.0
66,221,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,2018,33,Fiction,Children's Books,Animals,4.8,10922,5.0
251,137,"Oh, the Places You'll Go!",Dr. Seuss,2018,34,Fiction,Children's Books,Education & Reference,4.9,21834,8.0
81,315,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,2018,35,Fiction,Children's Books,Animals,4.9,5062,6.0
144,280,Goodnight Moon,Margaret Wise Brown,2018,36,Fiction,Children's Books,Animals,4.8,8837,5.0
290,316,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,2018,37,Non Fiction,"Cookbooks, Food & Wine",Cooking Education & Reference,4.8,7802,20.0
13,317,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,2018,38,Fiction,Science Fiction & Fantasy,9k6,4.5,5153,5.0
170,200,How to Win Friends & Influence People,Dale Carnegie,2018,39,Non Fiction,Self-Help,Relationships,4.7,25001,11.0
83,318,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,2018,40,Fiction,Children's Books,Animals,4.9,7235,4.0
185,319,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,2018,41,Non Fiction,"Cookbooks, Food & Wine",Regional & International,4.4,7396,13.0
231,251,Milk and Honey,Rupi Kaur,2018,42,Non Fiction,Literature & Fiction,Poetry,4.7,17739,8.0
220,320,Little Fires Everywhere,Celeste Ng,2018,43,Fiction,Literature & Fiction,Genre Fiction,4.5,25706,12.0
203,321,Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,2018,44,Non Fiction,"Cookbooks, Food & Wine",Beverages & Wine,4.8,2507,8.0
454,322,The President Is Missing: A Novel,James Patterson,2018,45,Fiction,Literature & Fiction,Action & Adventure,4.3,10191,18.0
293,323,"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,2018,46,Non Fiction,Children's Books,Growing Up & Facts of Life,4.8,23047,6.0
449,324,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",Dr. Steven R Gundry MD,2018,47,Non Fiction,"Cookbooks, Food & Wine",Cooking by Ingredient,4.5,3601,18.0
287,291,Ready Player One: A Novel,Ernest Cline,2018,48,Fiction,Humor & Entertainment,Humor,4.6,22536,12.0
101,262,Fahrenheit 451,Ray Bradbury,2018,49,Fiction,Politics & Social Sciences,Politics & Government,4.6,10721,8.0
297,325,Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,2018,50,Non Fiction,Politics & Social Sciences,Politics & Government,4.8,3923,16.0
534,326,Where the Crawdads Sing,Delia Owens,2019,1,Fiction,Literature & Fiction,Genre Fiction,4.8,87841,15.0
33,295,Becoming,Michelle Obama,2019,2,Non Fiction,History,Americas,4.8,61133,11.0
98,308,Educated: A Memoir,Tara Westover,2019,3,Non Fiction,Biographies & Memoirs,Leaders & Notable People,4.7,28729,15.0
86,327,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,2019,4,Fiction,Children's Books,Animals,4.9,9089,8.0
130,296,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,2019,5,Non Fiction,Christian Books & Bibles,Christian Living,4.6,22288,12.0
85,328,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,2019,6,Fiction,Children's Books,Animals,4.9,12619,8.0
545,329,Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,2019,7,Fiction,Children's Books,Growing Up & Facts of Life,4.9,9413,8.0
489,256,The Wonderful Things You Will Be,Emily Winfield Martin,2019,8,Fiction,Children's Books,Growing Up & Facts of Life,4.9,8842,10.0
294,323,"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,2019,9,Non Fiction,Children's Books,Growing Up & Facts of Life,4.8,23047,6.0
329,224,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,2019,10,Non Fiction,Self-Help,Relationships,4.8,25554,8.0
128,330,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,2019,11,Non Fiction,Business & Money,Business Culture,4.6,7660,12.0
491,297,The Wonky Donkey,Craig Smith,2019,12,Fiction,Children's Books,Animals,4.8,30183,4.0
466,268,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,2019,13,Non Fiction,Humor & Entertainment,Humor,4.6,26490,15.0
74,331,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,2019,14,Non Fiction,Children's Books,"Activities, Crafts & Games",4.6,7955,5.0
291,316,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,2019,15,Non Fiction,"Cookbooks, Food & Wine",Cooking Education & Reference,4.8,7802,20.0
482,176,The Very Hungry Caterpillar,Eric Carle,2019,16,Fiction,Children's Books,Early Learning,4.9,19546,5.0
529,332,What Should Danny Do? (The Power to Choose Series),Adir Levy,2019,17,Fiction,Children's Books,Growing Up & Facts of Life,4.8,8170,13.0
186,333,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,2019,18,Non Fiction,Christian Books & Bibles,Bible Study & Reference,4.8,7062,12.0
176,334,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,2019,19,Non Fiction,Children's Books,Growing Up & Facts of Life,4.8,9737,7.0
380,170,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,2019,20,Non Fiction,Self-Help,Personal Transformation,4.7,23308,6.0
521,335,Unfreedom of the Press,Mark R. Levin,2019,21,Non Fiction,Reference,"Writing, Research & Publishing Guides",4.9,5956,11.0
84,318,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,2019,22,Fiction,Children's Books,Animals,4.9,7235,4.0
127,227,Giraffes Can't Dance,Giles Andreae,2019,23,Fiction,Children's Books,"Arts, Music & Photography",4.8,14038,4.0
179,285,If Animals Kissed Good Night,Ann Whitford Paul,2019,24,Fiction,Children's Books,Growing Up & Facts of Life,4.8,16643,4.0
252,137,"Oh, the Places You'll Go!",Dr. Seuss,2019,25,Fiction,Children's Books,Education & Reference,4.9,21834,8.0
171,336,Howard Stern Comes Again,Howard Stern,2019,26,Non Fiction,Biographies & Memoirs,Arts & Literature,4.3,5272,16.0
150,337,Guts,Raina Telgemeier,2019,27,Non Fiction,Children's Books,Growing Up & Facts of Life,4.8,5476,7.0
426,210,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,2019,28,Non Fiction,"Crafts, Hobbies & Home",Home Improvement & Design,4.5,22641,11.0
155,338,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,2019,29,Fiction,Children's Books,Growing Up & Facts of Life,4.9,7758,18.0
240,339,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,2019,30,Non Fiction,Children's Books,Education & Reference,4.8,7866,11.0
184,319,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,2019,31,Non Fiction,"Cookbooks, Food & Wine",Regional & International,4.4,7396,13.0
345,340,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,2019,32,Non Fiction,Medical Books,Medicine,4.8,12361,12.0
138,341,Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,2019,33,Non Fiction,Self-Help,Creativity,4.6,10141,6.0
145,280,Goodnight Moon,Margaret Wise Brown,2019,34,Fiction,Children's Books,Animals,4.8,8837,5.0
356,305,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,2019,35,Non Fiction,"Cookbooks, Food & Wine",Special Diet,4.3,13061,6.0
522,342,Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,2019,36,Non Fiction,"Crafts, Hobbies & Home",Crafts & Hobbies,4.8,6108,4.0
303,343,Strange Planet (Strange Planet Series),Nathan W. Pyle,2019,37,Fiction,Humor & Entertainment,Humor,4.9,9382,6.0
267,287,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,2019,38,Fiction,Humor & Entertainment,Puzzles &  Games,4.8,16990,27.0
462,344,The Silent Patient,Alex Michaelides,2019,39,Fiction,"Mystery, Thriller & Suspense",Thrillers & Suspense,4.5,27536,14.0
4,345,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,2019,40,Non Fiction,Children's Books,Education & Reference,4.8,7665,12.0
509,182,To Kill a Mockingbird,Harper Lee,2019,41,Fiction,Literature & Fiction,Genre Fiction,4.8,26234,7.0
549,257,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,2019,42,Non Fiction,Self-Help,Happiness,4.7,14331,8.0
239,346,"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,2019,43,Non Fiction,Children's Books,"Science, Nature & How It Works",4.8,5347,16.0
44,347,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,2019,44,Non Fiction,Self-Help,Motivational,4.8,16244,18.0
397,348,The Guardians: A Novel,John Grisham,2019,45,Fiction,"Mystery, Thriller & Suspense",Thrillers & Suspense,4.5,13609,14.0
263,313,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,2019,46,Non Fiction,Children's Books,Growing Up & Facts of Life,4.7,10820,5.0
472,349,The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,2019,47,Non Fiction,Christian Books & Bibles,Christian Living,4.7,11550,10.0
41,286,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,2019,48,Fiction,Children's Books,Early Learning,4.9,14344,5.0
475,350,The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,2019,49,Non Fiction,Children's Books,"Arts, Music & Photography",4.7,9030,10.0
436,351,The Mueller Report,The Washington Post,2019,50,Non Fiction,Politics & Social Sciences,Politics & Government,4.6,2744,12.0
